name,category,types,rating,review,city,lat,lng,review_count,review_avg_rating,user_ratings_total
"Sri Ayyappa Swamy Temple Kalasipalya","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.8,"","bengaluru",12.959833,77.577503,0,4.8,968
"Jayanagara Park","park","park | tourist_attraction | point_of_interest | establishment",4.2,"","bengaluru",12.9338816,77.5872718,0,4.2,897
"View point","tourist attraction","tourist_attraction | point_of_interest | establishment",4.3,"","bengaluru",12.9385911,77.5375304,0,4.3,880
"Shri Gundlu Muneshwara Swamy Devasthana","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.8,"","bengaluru",12.9361927,77.6068014,0,4.8,828
"Sri Pralayakaalada Veerabhadraswami Gudi","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.7,"","bengaluru",12.9479404,77.5581468,0,4.7,822
"Shri Rama Devara Temple","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.6,"","bengaluru",12.9378201,77.5709804,0,4.6,818
"Department of Archaeology and Museums","museum","museum | tourist_attraction | point_of_interest | establishment",4.3,"","bengaluru",12.97465,77.5958911,0,4.3,801
"Bal Bhavan society","tourist attraction","tourist_attraction | point_of_interest | establishment",4.2,"","bengaluru",12.9768883,77.5987379,0,4.2,781
"Swarna Tours and Travels","tourist attraction","tourist_attraction | travel_agency | point_of_interest | establishment",5,"","bengaluru",12.9966747,77.57028199999999,0,5,703
"Shri Ramanjaneya Swamy Devasthana","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.7,"","bengaluru",12.9353779,77.57165289999999,0,4.7,546
"KRISHNA TOURS AND TRAVELS","travel agency","travel_agency | tourist_attraction | lodging | point_of_interest | establishment",4.8,"","bengaluru",12.9163266,77.6101673,0,4.8,533
"Shri Manjunatha Swamy Temple","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.7,"","bengaluru",12.9969667,77.5546875,0,4.7,520
"Shri Subramanya Swamy Temple","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.6,"","bengaluru",12.9968801,77.55893689999999,0,4.6,518
"Shri Maramma Tayi Temple","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.6,"","bengaluru",12.9988972,77.5717777,0,4.6,480
"Kempegowda Tower, Bengaluru","tourist attraction","tourist_attraction | point_of_interest | establishment",4.3,"","bengaluru",12.9677725,77.588976,0,4.3,420
"Kota Shri Venkataramana Swamy Temple Trust (R)","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.7,"","bengaluru",12.9519928,77.5774023,0,4.7,413
"Minsk Square","landmark","landmark | tourist_attraction | point_of_interest | establishment",4.4,"","bengaluru",12.9815135,77.59677479999999,0,4.4,414
"Kempegowda Tower, Bengaluru","tourist attraction","tourist_attraction | point_of_interest | establishment",4.4,"","bengaluru",12.9486198,77.5894246,0,4.4,390
"Sri Kodandarama Devasthana {R.}","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.5,"","bengaluru",12.9656973,77.5920325,0,4.5,372
"Shri Nimishamba Devi Temple","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.7,"","bengaluru",12.97233,77.5726428,0,4.7,357
"Park - J.P Nagar","park","park | tourist_attraction | point_of_interest | establishment",4.1,"","bengaluru",12.9128992,77.59391769999999,0,4.1,359
