name,city,shopping_score,user_ratings_total,weighted_rating,popularity_score
Aluco Racking Systems,thiruvananthapuram,0.764,102,4.1887,0.4166
Nainamvalappu Kothi Beach,kozhikode,0.7637,239,4.2274,0.4927
Alleppey Pine Forest (Mini),alappuzha,0.7637,335,4.216,0.5229
Best bakers,kochi,0.7635,123,4.2002,0.4333
ASIAN PAINTS COLOUR IDEAS @ JAI JIT PAINTS,kozhikode,0.7631,60,4.2123,0.3695
Leens Exports,kochi,0.7628,11,4.2164,0.2234
Hotel Ambadi,kochi,0.7626,149,4.1827,0.4504
2nd Mile View Point,munnar,0.7617,4989,4.4909,0.7654
St.Joseph Store Vettucaud,thiruvananthapuram,0.7617,3,4.2199,0.1246
Lulu mall Bridge View Point,thiruvananthapuram,0.7613,28,4.2226,0.3027
Mexican Shawarma,thrissur,0.7612,21,4.2071,0.2779
Go Paddle,alappuzha,0.761,897,4.4606,0.6113
Wonder Valley Adventure and Amusement Park,munnar,0.7609,8986,4.2034,0.8183
Eravikulam Valley View Point,munnar,0.7607,3,4.2199,0.1246
Heritage Arts,kochi,0.7605,108,4.2126,0.4217
URU Art Harbour,kochi,0.7601,376,4.2632,0.5333
Kozhikode Beach view point,kozhikode,0.76,158,4.2393,0.4556
Lions Children Park,kozhikode,0.7598,356,4.1252,0.5284
Lockhart Tea Museum,munnar,0.7595,97,4.2132,0.4121
Arafa International,kannur,0.7595,222,4.1269,0.4861
Kambiz Tyre Supermarket,wayanad,0.7594,17,4.2219,0.2598
St. Francis Xavier’s Roman Catholic Church,alappuzha,0.7592,126,4.2354,0.4354
Eco Courtyard By Nanus,thrissur,0.7588,1508,4.4256,0.6579
My Masters Wholesale Toy Shop,kochi,0.7584,98,4.2178,0.4131
Noah'z Pets Ark,thiruvananthapuram,0.7582,301,4.2293,0.5133
Cool Palace,kozhikode,0.7579,7,4.2176,0.1869
Maveli Store,thrissur,0.7576,2,4.2185,0.0988
Gudhaam Antiques & Art Cafe,kozhikode,0.7573,961,4.2451,0.6175
Lazza Ice Creams,thrissur,0.7568,36,4.1989,0.3246
Unique Style,kannur,0.7566,4,4.2188,0.1447
Cafe Pumpkin,alappuzha,0.7566,765,4.2135,0.597
St. Sebastian Church,wayanad,0.7563,18,4.2194,0.2647
Swamys Cafe since 1969,thrissur,0.7563,798,4.1848,0.6008
Cantonment Public Park,kannur,0.7562,486,4.215,0.5563
Park,thrissur,0.7555,23,4.2173,0.2857
Kerala Lalithakala Akademi,thrissur,0.7552,527,4.2565,0.5635
𝘼𝙡𝙡𝙚𝙥𝙥𝙚𝙮 𝙆𝙖𝙮𝙖𝙠𝙞𝙣𝙜 𝘾𝙡𝙪𝙗,alappuzha,0.7551,14,4.2241,0.2434
Via Kerala Design Shop,kochi,0.755,5,4.2171,0.1611
