name,city,shopping_score,user_ratings_total,weighted_rating,popularity_score
Lumino Dwellings,munnar,0.6253,1343,4.2514,0.6475
KOYASEES RESTURANT,alappuzha,0.6253,310,4.243,0.516
Kumaranandhayogam Sri Rajarajeswary Temple,kochi,0.6253,13,4.2224,0.2372
Darusilpi wooden lighting,thiruvananthapuram,0.6253,5,4.2201,0.1611
Reads Foundation,wayanad,0.6253,1,4.2191,0.0623
St. Gregorios Chapel Mattapallikunnu,kannur,0.6253,1,4.2191,0.0623
വിശ്രമകേന്ദ്രം ആലപ്പുഴ നഗരസഭ,alappuzha,0.6253,0,4.2187,0.0
Chelliyil House,wayanad,0.6253,0,4.2187,0.0
Trissur,thrissur,0.6253,0,4.2187,0.0
Chennatt Electrical Industries,kochi,0.6253,11,4.2186,0.2234
BRIGHT TOWER,kochi,0.6253,2,4.2185,0.0988
Apsara Hotel,alappuzha,0.6253,34,4.2184,0.3196
Munnar pin,munnar,0.6253,11,4.218,0.2234
Quit India Golden Jubilee Memorial,alappuzha,0.6253,3,4.2179,0.1246
Ramachandran (Attakulangara),thiruvananthapuram,0.6253,19934,4.1108,0.8899
St. Jude's Church,thiruvananthapuram,0.6252,14,4.2213,0.2434
Motta Residence,wayanad,0.6252,2,4.2195,0.0988
St. George's Station Church (Aranattukara),thrissur,0.6252,2,4.2195,0.0988
Reliable Roadways,kozhikode,0.6252,1,4.2191,0.0623
Jithughan Kottayattu Kolly,wayanad,0.6252,0,4.2187,0.0
Kamburam Sree Kurumba Bhagavathi Temple,kozhikode,0.6251,60,4.2327,0.3695
Mummy Daddy Night Cafe,alappuzha,0.6251,35,4.2321,0.3221
Mazan Hotel,wayanad,0.6251,22,4.2228,0.2819
Kannamaly pulimuttu Seaview point,kochi,0.6251,5,4.2206,0.1611
AIR FLY INDIA Travels And Tourism - Travel Agent | Best Travel Agency in Calicut,kozhikode,0.6251,2,4.2195,0.0988
Nicog Church Chettikadu,alappuzha,0.6251,0,4.2187,0.0
"Silverwood Resort, Wayanad",wayanad,0.6251,0,4.2187,0.0
Thekan ഹൗസ്,wayanad,0.6251,0,4.2187,0.0
Nathiya Canteen,munnar,0.6251,18,4.2185,0.2647
"St. Mary's Cappella, Chiyyaram",thrissur,0.6251,7,4.2183,0.1869
vijaya cafe,thrissur,0.6251,4,4.2168,0.1447
MALABAR BEACHWAY,alappuzha,0.6251,161,4.1949,0.4573
ChicKing,kochi,0.6251,1312,4.0528,0.6454
The Pepper Restaurant,kochi,0.625,242,4.249,0.4938
"St. Sebastian's Church Gandhi Nagar, Elamkulam",kochi,0.625,133,4.2425,0.4403
Oban Square,thiruvananthapuram,0.625,19,4.2213,0.2693
Holy Family Generalate,thrissur,0.625,24,4.2196,0.2893
"Fast Foods, Kumbalanghi Vazhi",kochi,0.625,3,4.2188,0.1246
Prasanthy Houseboats,alappuzha,0.6249,223,4.2469,0.4865
JAC TOWER,thrissur,0.6249,8,4.2194,0.1975
St.Kochuthresya Shrine,kochi,0.6249,0,4.2187,0.0
Haiku momos,kochi,0.6249,0,4.2187,0.0
Chickban,kozhikode,0.6249,0,4.2187,0.0
Feeding room,alappuzha,0.6249,0,4.2187,0.0
ദാസൻ്റെ തട്ടുകട,wayanad,0.6249,0,4.2187,0.0
Payyambalam Beach,kannur,0.6249,0,4.2187,0.0
Attupuram Kadavu,kochi,0.6249,3,4.2173,0.1246
Billion Cafe,kochi,0.6249,36,4.2042,0.3246
Alibaba & 41 Dishes - Thrissur,thrissur,0.6249,15484,4.2021,0.8672
Akbar Academy,kozhikode,0.6248,193,4.261,0.4735
St. Peter's Roman Catholic Church,alappuzha,0.6248,168,4.2327,0.4611
Kottakkal Arya Vaidya Sala,kochi,0.6248,36,4.2219,0.3246
Vadakkechira Waterfront Park,thrissur,0.6248,1,4.2191,0.0623
Vivo y20,kozhikode,0.6248,0,4.2187,0.0
JAHANGEER CHIRAKKAL,wayanad,0.6248,0,4.2187,0.0
St. George Orthodox Church,wayanad,0.6248,6,4.2174,0.1749
R.V.D TOWER,kochi,0.6248,32,4.2089,0.3143
Kinattingal Tennis & Sports Academy,thrissur,0.6247,167,4.225,0.4606
"St. Sebastian's Church, Sebanpuram",kochi,0.6247,12,4.2233,0.2306
JT taxi service,kochi,0.6247,9,4.2217,0.207
Vallarbadam,alappuzha,0.6247,0,4.2187,0.0
St.Sebastians Church Chapel,wayanad,0.6247,6,4.2171,0.1749
"ST MARY'S ROMAN CATHOLIC CHURCH, KOCHERY",kochi,0.6246,32,4.2247,0.3143
Art photo framing & Art gallery,kannur,0.6246,0,4.2187,0.0
Kanoli Park,kozhikode,0.6246,4,4.2182,0.1447
Mukkadans Restaurant,thiruvananthapuram,0.6246,204,4.1337,0.4785
Hotel King Fort,kozhikode,0.6246,1864,4.065,0.677
Akbar Travels of India Pvt Ltd - Trivandrum,thiruvananthapuram,0.6245,1623,4.3895,0.6645
RGood thanks et,thiruvananthapuram,0.6245,0,4.2187,0.0
Bella Italia: Pizzeria & Bakehouse,kannur,0.6245,0,4.2187,0.0
Karthika Apartments,kozhikode,0.6245,6,4.218,0.1749
Brews and Burgers Bistro,alappuzha,0.6244,1403,4.2934,0.6514
Anandha Bhavanam Hotel And Tea Shop.,alappuzha,0.6244,1,4.2191,0.0623
Basil Eldho AYANIVEETTIL,wayanad,0.6244,0,4.2187,0.0
Trichur Foods,thrissur,0.6244,17,4.2168,0.2598
Arabian Grill Express,thrissur,0.6244,22,4.2163,0.2819
K.K.B. Restaurant,kochi,0.6244,29,4.1998,0.3057
Mist Inn Resort,munnar,0.6244,699,4.162,0.5889
Payyambalam Beach,kannur,0.6243,10412,4.2869,0.8316
Sudar Oli,munnar,0.6243,0,4.2187,0.0
KURIAN NELLIKKATTIL,wayanad,0.6243,0,4.2187,0.0
ഫ്രണ്ട്‌സ് ചിക്കൻ സ്റ്റാൾ,wayanad,0.6243,0,4.2187,0.0
Sunset Point,munnar,0.6243,3,4.2179,0.1246
Fazza kitchen,wayanad,0.6243,3,4.2179,0.1246
The Kozhikode Brethren Assembly,kozhikode,0.6242,15,4.2208,0.2492
Kuthira Malika Palace & Chithralayam entrance,thiruvananthapuram,0.6242,38,4.2202,0.3293
SAFAR FASTFOOD,alappuzha,0.6242,3,4.2199,0.1246
Bro Chicken Centre,alappuzha,0.6242,4,4.2188,0.1447
PAYYANAKKAL,kozhikode,0.6242,0,4.2187,0.0
Unnichettante chayakkada,alappuzha,0.6242,0,4.2187,0.0
Palathingal House (Gopi),thrissur,0.6242,0,4.2187,0.0
Thattu Kada Food Spot,kannur,0.6242,0,4.2187,0.0
V K BYJU,kannur,0.6242,0,4.2187,0.0
St Antonys,wayanad,0.6242,5,4.2186,0.1611
Ganga Tours And Travels,kozhikode,0.6242,16,4.2146,0.2547
Sacred Heart Church,thrissur,0.6241,159,4.2468,0.4562
St. Paul's Lutheran Church,kochi,0.6241,9,4.2217,0.207
ALAPPATT HOUSE,wayanad,0.6241,0,4.2187,0.0
Alappuzha Heritage KSCC Park,alappuzha,0.6241,2,4.2185,0.0988
Sangam Restaurant,kochi,0.6241,115,4.2177,0.4273
SBI Branch Kallai Road Calicut,kozhikode,0.6241,74,4.2144,0.3881
KIRTADS,kozhikode,0.6241,437,4.1795,0.5467
Garden Restaurant,thiruvananthapuram,0.6241,134,4.1736,0.4409
Natural History Museum,thiruvananthapuram,0.624,595,4.2603,0.5744
Reliance Hotel,thrissur,0.624,3,4.2194,0.1246
"New Life Fellowship (NLF) Church, Calicut",kozhikode,0.624,4,4.2188,0.1447
Aloha beach,alappuzha,0.624,13,4.2186,0.2372
Sahar food court,kannur,0.624,2,4.2155,0.0988
Mummy's Kitchen,munnar,0.624,67,4.1695,0.3793
Travancore Court,kochi,0.6239,4368,4.3431,0.7535
Calicut cliff,kozhikode,0.6239,2,4.2195,0.0988
kudumbashree Janakeeya Hotel Millumukku,wayanad,0.6239,5,4.2191,0.1611
easy buy Pathirikada,alappuzha,0.6239,1,4.2191,0.0623
ആലപ്പുഴ,alappuzha,0.6239,0,4.2187,0.0
Meemi homely sea food,thrissur,0.6239,4,4.2172,0.1447
MUNNAR SAMRUDHI RESTAURANT,munnar,0.6238,3230,4.5159,0.7264
Punnamada,alappuzha,0.6238,1,4.2191,0.0623
Shamseena hotel,thrissur,0.6238,3,4.2188,0.1246
Verso il Paradiso,thrissur,0.6238,0,4.2187,0.0
St Vianney's Ward,thrissur,0.6238,0,4.2187,0.0
BSNL Customer Service Centre,thiruvananthapuram,0.6238,309,4.1359,0.5157
Munnar Sparrow Camping & Munnar Tent Camping stay,munnar,0.6237,186,4.2852,0.4702
Tea plantation View point,munnar,0.6237,99,4.2414,0.414
KANJI KADA,thrissur,0.6237,0,4.2187,0.0
Tip Top Cells,kannur,0.6237,0,4.2187,0.0
A ONE THATTUKADA,wayanad,0.6237,1,4.2181,0.0623
Park,kochi,0.6237,5,4.2171,0.1611
BIJUMON O,alappuzha,0.6237,3,4.2164,0.1246
Kayees Rahmathulla Cafe,kochi,0.6237,6829,4.1269,0.7937
Vinpy Nagar Association Grounds,thrissur,0.6236,13,4.2199,0.2372
Sunshade hotel,alappuzha,0.6236,46,4.2048,0.3461
Sreekaryam Automobiles - Amaron Pitstop,thiruvananthapuram,0.6236,52,4.1954,0.3569
Falafel Hub,kannur,0.6236,111,4.1914,0.4241
Arab station,kannur,0.6236,173,4.1854,0.4638
SagaraSree Thattukada,kannur,0.6235,3,4.2199,0.1246
Simandhar Nagar,kozhikode,0.6235,1,4.2191,0.0623
Onnam Mile,wayanad,0.6235,17,4.216,0.2598
ICCONS,thiruvananthapuram,0.6235,37,4.2147,0.327
St. Jude's Roman Catholic Church,thrissur,0.6234,231,4.2582,0.4896
Fathimanatha Chapel Kottekad,thrissur,0.6234,12,4.2222,0.2306
Kaveri Hotel,kannur,0.6234,6,4.221,0.1749
Shanghumugam Beach,thiruvananthapuram,0.6234,37,4.2202,0.327
"Ayyankali Statue, Vivekananda Nagar",thiruvananthapuram,0.6234,5,4.2196,0.1611
Gopi Valav,thiruvananthapuram,0.6234,7,4.2193,0.1869
RAMYA HOTEL,wayanad,0.6234,1,4.2191,0.0623
Sreekrishna Hotel,thrissur,0.6234,11,4.2186,0.2234
Acumen Capital Market India Limited,kochi,0.6234,4,4.2182,0.1447
Sreerosh Belvedere,kozhikode,0.6234,66,4.2053,0.378
Food Parcel,kannur,0.6233,1,4.2191,0.0623
OTIEON ventures,thrissur,0.6233,0,4.2187,0.0
തൃപ്തി നാടൻ ഭക്ഷണം,wayanad,0.6233,4,4.2182,0.1447
Indian Rubber Stamps & Plastic Works,thrissur,0.6233,13,4.2179,0.2372
Patanjali Arogya Kendra,kochi,0.6233,6,4.2174,0.1749
Amma Hotel,alappuzha,0.6233,74,4.1966,0.3881
Brahma Tours & Travels,kochi,0.6232,189,4.2775,0.4717
Sree Nandanam,wayanad,0.6232,0,4.2187,0.0
CP Towers,thiruvananthapuram,0.6232,7,4.2158,0.1869
THANKAM S,munnar,0.6231,2,4.2195,0.0988
Wild heaven camping,munnar,0.6231,2,4.2195,0.0988
Shappi kuru veedu,kozhikode,0.6231,1,4.2191,0.0623
The West-Coast Weaving Establishments,kannur,0.623,23,4.2219,0.2857
Grotto of Our Lady,wayanad,0.623,1,4.2191,0.0623
Nee bus stand calicut,kozhikode,0.623,1,4.2186,0.0623
Yankees Restaurant,kochi,0.623,3,4.2179,0.1246
Kid's Park,thiruvananthapuram,0.623,33,4.2103,0.317
XL Hotel,kochi,0.623,502,4.1347,0.5592
"Munnar Hill Station (The Kashmir of South India) - Idukki District, Kerala, India",munnar,0.6229,51,4.2232,0.3552
Nalukkettu pathiri company,alappuzha,0.6229,0,4.2187,0.0
Shrine of Child Jesus,kochi,0.6229,2,4.2185,0.0988
Supplyco Depot Thrissur,thrissur,0.6229,3,4.2173,0.1246
Pranav 4 Seasons,munnar,0.6229,352,4.156,0.5273
OYO 15426 Picasso Castle,alappuzha,0.6229,220,4.1276,0.4852
SUBWICHERS,kannur,0.6228,143,4.2308,0.4467
Balakrishna Hotel,thrissur,0.6228,7,4.2207,0.1869
ZOE Revival Church,munnar,0.6228,1,4.2191,0.0623
Matma Art Gallery,kochi,0.6228,0,4.2187,0.0
Longkei,alappuzha,0.6228,0,4.2187,0.0
Nadan Food,wayanad,0.6228,10,4.2181,0.2155
R.V. Tower,thiruvananthapuram,0.6228,9,4.2173,0.207
St. Mary's Assumption Church,thrissur,0.6227,119,4.2289,0.4304
Church,alappuzha,0.6227,1,4.2191,0.0623
Saudi park,kochi,0.6227,0,4.2187,0.0
Johny Muringamattam,wayanad,0.6227,0,4.2187,0.0
Kurumbalakotta st.marys grotto,wayanad,0.6227,8,4.2178,0.1975
Supplyco Depots,kochi,0.6227,18,4.2132,0.2647
YUAAN RESTAURANT,alappuzha,0.6227,20,4.2106,0.2737
Nilavara,alappuzha,0.6227,13,4.1998,0.2372
Big B Shooting Location,kochi,0.6226,1765,4.3037,0.6721
Park Road,kannur,0.6226,4,4.2192,0.1447
Shaji Kanjuparambil,wayanad,0.6226,0,4.2187,0.0
Kurisu muttappan (church),thrissur,0.6226,3,4.2184,0.1246
Heera Velmont Palace,thiruvananthapuram,0.6226,7,4.2183,0.1869
Hotel Residency Tower,thiruvananthapuram,0.6226,6046,4.2046,0.7827
Holy Family Monastery,kochi,0.6225,87,4.2304,0.4025
SreeHari (H),wayanad,0.6225,0,4.2187,0.0
Kids park shoba,thrissur,0.6225,0,4.2187,0.0
Kumbalangi Park,kochi,0.6225,373,4.2157,0.5325
Lakshmi Tower,thrissur,0.6225,6,4.2144,0.1749
Nadan Restaurant,thiruvananthapuram,0.6225,22,4.2022,0.2819
7 Elysee Homestay,thrissur,0.6224,137,4.2624,0.4429
Cheriyaparambu Kurisupura,alappuzha,0.6224,6,4.221,0.1749
Arabian Shake Cafe,alappuzha,0.6224,834,4.1838,0.6047
New Malabar Family Restaurant,kozhikode,0.6224,3675,3.9476,0.738
Swasth organica millet restaurant,kannur,0.6223,14,4.2227,0.2434
MANAF S,alappuzha,0.6223,12,4.2198,0.2306
Priyadarsini Nagar Park,thrissur,0.6223,59,4.2096,0.368
Lake Queen Premium Luxury Houseboat by LEDD Hotels | Kerala Houseboats | Alleppey Boat House,alappuzha,0.6222,546,4.3433,0.5667
Food World Anaviratty,munnar,0.6222,12,4.2233,0.2306
Holy Family Church,alappuzha,0.6222,11,4.2219,0.2234
KINGDOM HALL OF JEHOVAH'S WITNESSES,thrissur,0.6222,18,4.2212,0.2647
Ozone Establishment,kozhikode,0.6222,15,4.2208,0.2492
St. Sebastian's Church Vandiyambetta,wayanad,0.6222,8,4.2202,0.1975
PWD Buildings Office,munnar,0.6222,0,4.2187,0.0
Kambettillam,kannur,0.6222,0,4.2187,0.0
"Burger Hub, Kuriachira",thrissur,0.6222,49,4.2158,0.3517
Food Track,kannur,0.6221,1,4.2191,0.0623
Dahban kitchens Mugdar beech,kozhikode,0.6221,0,4.2187,0.0
YMC Fast Food thattukada,alappuzha,0.6221,0,4.2187,0.0
Hotel Salkara,wayanad,0.6221,24,4.2137,0.2893
"Biverah Hotel and Suites, 4-star hotels in Trivandrum, Medical college, kims hospital, hotels in trivandrum, budget hotel",thiruvananthapuram,0.6221,2722,3.9773,0.711
Aathira Dzingns Stickers,kochi,0.622,38,4.2183,0.3293
Vathuruthy Park,kochi,0.622,67,4.2019,0.3793
Chalad Beach,kannur,0.6219,534,4.2569,0.5647
SBI Branch Kerala Agriculture University Campus,thrissur,0.6219,41,4.2203,0.336
Bhanu home,wayanad,0.6219,0,4.2187,0.0
Artamazia Gallery & Art School,kannur,0.6219,0,4.2187,0.0
Gomathi Egg Mart,thiruvananthapuram,0.6219,3,4.2179,0.1246
Willingdon Island Post Office,kochi,0.6219,21,4.2175,0.2779
Orange,thiruvananthapuram,0.6219,34,4.2134,0.3196
Adaminde Chayakada Kozhikode Beach,kozhikode,0.6219,11178,3.8635,0.8379
Bridgestone Select - Phoenix Tyres and service,thrissur,0.6218,216,4.2266,0.4836
St.Antonys old Chapel,alappuzha,0.6218,1,4.2191,0.0623
St.Sebastian Catholic Cappela,munnar,0.6218,0,4.2187,0.0
Salad Concept,kozhikode,0.6218,9,4.2177,0.207
Vanitha Hotel,thrissur,0.6218,6,4.2174,0.1749
Hotel Anna,thrissur,0.6218,5,4.2171,0.1611
ബിരിയാണി ഹട്ട് ഫാസ്റ്റ്ഫുഡ്,alappuzha,0.6218,3,4.2164,0.1246
Wayanad Royal Crown,wayanad,0.6218,829,4.1546,0.6042
New cliff beach Pyyambalam,kannur,0.6217,23,4.223,0.2857
Annapoorneswary Hotel,alappuzha,0.6217,30,4.2228,0.3087
Rishi's Tastes,kannur,0.6217,2,4.2195,0.0988
Bourn Hall,kozhikode,0.6217,0,4.2187,0.0
Eat N Joy,alappuzha,0.6217,0,4.2187,0.0
Ilakkoott,thrissur,0.6217,0,4.2187,0.0
HOTEL MANIKYAM,alappuzha,0.6217,8,4.2182,0.1975
College of Commerce Kannur,kannur,0.6217,200,4.1624,0.4767
Adeodatus Memorial Carmelite Museum,thiruvananthapuram,0.6216,6,4.221,0.1749
St Antonys Chappel Poonkavu,alappuzha,0.6216,1,4.2191,0.0623
Thrissur,thrissur,0.6216,0,4.2187,0.0
Ayikkara Athani,kannur,0.6216,0,4.2187,0.0
"TiaLala Multi-Cuisine Restaurant , Kannur",kannur,0.6216,21,4.2185,0.2779
The Barista Cafe,munnar,0.6216,37,4.2147,0.327
Le Celestium,munnar,0.6216,2106,4.1065,0.6879
AACHAS NADAN BHAKSHANA SHALA/ആച്ചാസ് നാടൻ ഭക്ഷണ ശാല,wayanad,0.6215,43,4.233,0.3402
Hotel Appus,wayanad,0.6215,8,4.221,0.1975
"St. Mary's chappel, Nedupuzha, Thrissur",thrissur,0.6215,4,4.2202,0.1447
Mangala Wedding Decor,kozhikode,0.6215,4,4.2198,0.1447
St. Antony's Chapel Thumpoly Alappuzha,alappuzha,0.6215,4,4.2192,0.1447
STEAMY MOMOS,alappuzha,0.6215,6,4.2189,0.1749
Art Cave,thiruvananthapuram,0.6215,0,4.2187,0.0
"Houseboat with deck seating in Alappuzha, by GuestHouser 3496",alappuzha,0.6215,0,4.2187,0.0
Tent Stay Wayanad - Tent,wayanad,0.6215,0,4.2187,0.0
Rahmaniya Food On Wheels,alappuzha,0.6215,64,4.2088,0.3752
Valapattanam Children's Park,kannur,0.6215,75,4.1927,0.3893
Kerala Folklore Academy,kannur,0.6214,255,4.2392,0.4985
Munnar outdoor fotogrfer drone vedoes,munnar,0.6214,1,4.2191,0.0623
Kavalakat Estate,thrissur,0.6214,1,4.2191,0.0623
VINAY SAMPATH FLAMING,alappuzha,0.6214,0,4.2187,0.0
aalis foodstall,kannur,0.6214,0,4.2187,0.0
Pagoda Resorts Alappuzha,alappuzha,0.6214,5788,3.8332,0.7788
Cheese Mafia,alappuzha,0.6213,14,4.2241,0.2434
St. Alphonsa Church,alappuzha,0.6213,103,4.2227,0.4175
Thumpoly Church,alappuzha,0.6213,15,4.2208,0.2492
SHALOM REVIVAL ASSEMBLY,thrissur,0.6213,2,4.2195,0.0988
Ganapathi Park,kozhikode,0.6213,0,4.2187,0.0
Teddy's - Treks & Trails.,munnar,0.6213,3,4.2179,0.1246
Chattampi Swami Park,thiruvananthapuram,0.6213,10,4.2131,0.2155
Maharaja Swathi Thirunal Palace (Kuthira Malika),thiruvananthapuram,0.6212,1205,4.3245,0.6378
"Archaeological Museum, Department of Archaeology, University of Kerala",thiruvananthapuram,0.6212,7,4.2204,0.1869
Porikada,alappuzha,0.6212,6,4.2204,0.1749
Anuttan house,kannur,0.6212,0,4.2187,0.0
നാടൻ ഊണ് meal lunch only,kannur,0.6212,0,4.2187,0.0
Alappuram Park,thiruvananthapuram,0.6212,11,4.218,0.2234
HMCA Chappel,alappuzha,0.6211,38,4.2202,0.3293
Indian Flag Post - Thrissur Railway Station,thrissur,0.6211,8,4.2198,0.1975
Abuvinta Thattukada,alappuzha,0.6211,2,4.2195,0.0988
FooD ContaineR,thiruvananthapuram,0.6211,3,4.2194,0.1246
Comrade Dileep Square,thrissur,0.6211,1,4.2191,0.0623
KEY CEE,kozhikode,0.6211,0,4.2187,0.0
"Spacious room in a cottage ideal for nature lovers, by GuestHouser",munnar,0.6211,0,4.2187,0.0
Arun,wayanad,0.6211,0,4.2187,0.0
Thattu Kada,wayanad,0.6211,1,4.2181,0.0623
Patanjali Arogya Kendra,thiruvananthapuram,0.6211,37,4.2165,0.327
Healthush,thrissur,0.6211,61,4.2093,0.371
"St. Francis Xavier's Malankara Syriac Catholic Church, Kunnapuzha",thiruvananthapuram,0.621,107,4.2228,0.4209
SHEEBAS MESS HOUSE,alappuzha,0.621,31,4.2199,0.3115
D WOK,kozhikode,0.621,1,4.2191,0.0623
Peakpal,munnar,0.621,1,4.2191,0.0623
Karani Chicken Stall,wayanad,0.621,1,4.2191,0.0623
St Antony's Chapel Kuriachira,thrissur,0.621,1,4.2191,0.0623
MCC Eco park,kozhikode,0.621,1,4.2181,0.0623
MANJU C,kannur,0.621,2,4.218,0.0988
Rotary Corner,kozhikode,0.621,1,4.2171,0.0623
"Archaeological Museum, Thrissur",thrissur,0.621,77,4.2143,0.3916
CASA DA VENICE,alappuzha,0.6209,60,4.2269,0.3695
Veda wellness & Yoga Center,kochi,0.6209,14,4.2234,0.2434
Church of Christ,thiruvananthapuram,0.6209,20,4.2205,0.2737
"Children's Park, Prasanth Nagar",thiruvananthapuram,0.6209,13,4.2134,0.2372
Malabar Plaza Family Restaurant,kochi,0.6209,664,4.0396,0.5843
Little Flower Church,alappuzha,0.6208,36,4.229,0.3246
Ave Maria Roman Catholic Church,munnar,0.6208,15,4.223,0.2492
Maq Building Materials,kozhikode,0.6208,4,4.2198,0.1447
SKC Tower,kochi,0.6208,2,4.219,0.0988
Sali Thomas,wayanad,0.6208,0,4.2187,0.0
Park,thrissur,0.6208,0,4.2187,0.0
Noonhi Park,kozhikode,0.6208,4,4.2153,0.1447
"Parkland Elan Garden,",thrissur,0.6208,34,4.2117,0.3196
Vellayil Beach,kozhikode,0.6207,23,4.2196,0.2857
Palakkulam,alappuzha,0.6207,0,4.2187,0.0
Whispering Mangrove Serviced villa Hotels,kochi,0.6207,263,4.2165,0.5012
Athithi hotel,alappuzha,0.6207,10,4.2096,0.2155
Rice Boat,kochi,0.6206,856,4.333,0.6071
SI Property Verna,thiruvananthapuram,0.6206,4,4.2202,0.1447
"St. Sebastian's Church, Nellankara",thrissur,0.6206,3,4.2194,0.1246
Comrade V. S. Achuthanandan Memorial,alappuzha,0.6206,0,4.2187,0.0
Nizar Biriyani Kada,alappuzha,0.6206,0,4.2187,0.0
Habibi Restaurant,wayanad,0.6206,78,4.218,0.3928
Kundungal Park,kozhikode,0.6206,5,4.2176,0.1611
Veli church beach,thiruvananthapuram,0.6205,2,4.2195,0.0988
"വട്ടക്കല്ല് , Vatta kallu",kannur,0.6205,6,4.2189,0.1749
Malsyagandhi Junction,alappuzha,0.6205,0,4.2187,0.0
Rose Park,thrissur,0.6205,4,4.2178,0.1447
"Illam vanitha mess, ഇല്ലം വനിത മെസ്സ്",wayanad,0.6205,322,4.1884,0.5194
Alleppey Prince,alappuzha,0.6205,1764,4.0225,0.672
Saatwika Ayurveda Treatment Centre and Hospital Trivandrum,thiruvananthapuram,0.6204,285,4.2912,0.5084
Care 4 Associates,thiruvananthapuram,0.6204,39,4.226,0.3316
St. Gregorios Orthodox Syrian Church,kochi,0.6204,82,4.2258,0.3972
New India Church Of God - Kozhikode Town Church,kozhikode,0.6204,11,4.223,0.2234
Girish Tower,kochi,0.6204,1,4.2191,0.0623
Play School,kozhikode,0.6204,0,4.2187,0.0
Ambica Constructions,kozhikode,0.6204,33,4.2184,0.317
FGPC panamaram,wayanad,0.6204,3,4.2179,0.1246
Hilton Fitness Systems,kochi,0.6204,83,4.21,0.3983
Bombay Restaurant,kozhikode,0.6204,10192,4.0359,0.8296
Jogging track,kochi,0.6203,28,4.2212,0.3027
Adhithi Foods,thrissur,0.6203,2,4.2195,0.0988
Masird,kozhikode,0.6203,0,4.2187,0.0
Munayam pathway park,thrissur,0.6203,5,4.2181,0.1611
BANANA LEAF BY PAGODA RESORTS,alappuzha,0.6203,6,4.218,0.1749
Ragam,thrissur,0.6203,16,4.2162,0.2547
Chappa Restaurant,kannur,0.6203,22,4.2098,0.2819
Puresouth,kozhikode,0.6203,1614,3.987,0.664
St. Joseph's Chapel Punnamada,alappuzha,0.6202,4,4.2192,0.1447
Gopika Art Gallery,thiruvananthapuram,0.6202,7,4.219,0.1869
Zealots Property,kozhikode,0.6202,28,4.2129,0.3027
KFDC Floriculture Centre,munnar,0.6202,3958,4.2063,0.7446
Golden Nook,kannur,0.6202,88,4.1631,0.4035
Mandala Beach House & Cottages,alappuzha,0.6201,201,4.2352,0.4772
Kannur,kannur,0.6201,1,4.2191,0.0623
AMRITSAR EXPRESS Taste of Punjab,alappuzha,0.6201,17,4.2185,0.2598
Anna Homestay,munnar,0.62,477,4.2921,0.5546
"ST JOSEPH'S CHURCH, NORTH KUMBALANGHI",kochi,0.62,89,4.2392,0.4045
Re Fresh,kochi,0.62,12,4.2227,0.2306
KS Vegetable,wayanad,0.62,5,4.2206,0.1611
Ave Maria Old Church,munnar,0.62,2,4.219,0.0988
"Uroob Museum, Kozhikode",kozhikode,0.62,1,4.2186,0.0623
Fatima Matha Church Kuthirakoorkari,kochi,0.62,7,4.2176,0.1869
Alankar Family Restaurant,kozhikode,0.62,2934,4.0886,0.7177
The Juice Studio,kannur,0.6199,14,4.2234,0.2434
BABY THE BOSS,kozhikode,0.6199,11,4.2202,0.2234
John paul church main gate,kochi,0.6199,0,4.2187,0.0
Prince Motors,kozhikode,0.6199,2,4.2155,0.0988
ILine RESIDENCY,kozhikode,0.6199,37,4.2056,0.327
Carmel Towers,thiruvananthapuram,0.6199,451,4.1968,0.5496
Amar Architecture And Designs Pvt. Ltd.,kozhikode,0.6198,110,4.2438,0.4233
Bangalore juicy and foods | Alappuzha,alappuzha,0.6198,697,4.2397,0.5886
Plant Aura,kozhikode,0.6198,50,4.2353,0.3534
Kannamparambu Cemetery,kozhikode,0.6198,16,4.2241,0.2547
MAR SLEEVA CHAPEL,alappuzha,0.6198,7,4.2214,0.1869
St. John's C.S.I English Church - Kannur,kannur,0.6198,22,4.2207,0.2819
C.S.I. Hebichs Church,kannur,0.6198,21,4.2206,0.2779
Cafe Kannur,kannur,0.6198,5,4.2206,0.1611
Abhinaya lottery center munnar mattupetty road,munnar,0.6198,5,4.2206,0.1611
Kerala Watersports and Sailing Organisation,kochi,0.6198,6,4.2201,0.1749
Dhanu Restuarant & Tea Shop,thiruvananthapuram,0.6198,3,4.2199,0.1246
Lunchbox Alappuzha,alappuzha,0.6198,2,4.2195,0.0988
Paddy Field View | Kainakary South,alappuzha,0.6198,4,4.2192,0.1447
Dream heaven,munnar,0.6198,0,4.2187,0.0
Crafters Warehouse,kochi,0.6198,2,4.2185,0.0988
Alappuzha Park,alappuzha,0.6198,3,4.2173,0.1246
The Malayala Manorama Co Ltd.,kozhikode,0.6198,223,4.1967,0.4865
Burger Lounge,kozhikode,0.6198,1542,4.167,0.6599
David School Of Music - Poonkunam,thrissur,0.6197,117,4.2563,0.4288
Chilavannur Kadavu,kochi,0.6197,421,4.2328,0.5434
Bersheba Worship Centre (Pentecostal Church),kozhikode,0.6197,7,4.2211,0.1869
"St. Joseph's Malankara Syriac Catholic Church, Kuravankonam",thiruvananthapuram,0.6197,12,4.2204,0.2306
Kannam Parambu Masjid,kozhikode,0.6196,230,4.258,0.4892
S.K. Pottekkatt Statue,kozhikode,0.6196,85,4.2261,0.4004
