name,category,rating,sentiment,city,lat,lng,review_count,review_avg_rating,user_ratings_total,has_review,review_length,popularity_signal
ILLIKKAL JUNCTION,tourist attraction,4.4,0.7982641054512633,kochi,9.8828661,76.28690370000001,5,4.8,160,1,147,5.081404
Kumbalam Thevera View Point,tourist attraction,4.4,0.8831489397531247,kochi,9.9201328,76.3052597,5,4.6,71,1,202,4.276666
Kumbalangi Kavaru Spot,tourist attraction,4.3,0.6540651848380274,kochi,9.873649000000002,76.284958,5,3.6,483,1,321,6.182085
KANNAMALY PUTHENTHODE BEACH ENTRY,tourist attraction,5.0,0.5,kochi,9.869678499999996,76.26630899999999,0,5.0,1,0,0,0.693147
"KANNAMALY PUTHENTHODE BEACH,KOCHI",tourist attraction,5.0,0.5,kochi,9.8688035,76.2636818,0,5.0,1,0,0,0.693147
Lake view at kumbalam,tourist attraction,3.8,0.6600439890577088,kochi,9.894799999999998,76.30757779999999,5,4.2,9,1,43,2.302585
Kumbalangi wooden bridge,tourist attraction,4.5,0.8486589767188903,kochi,9.869375,76.278719,5,4.4,43,1,105,3.78419
Kumbalam,tourist attraction,0.0,0.5,kochi,9.902169799999998,76.3103929,0,0.0,0,0,0,0.0
Vembanad Lake-Aroor,tourist attraction,4.3,0.8580252342214727,kochi,9.888508399999996,76.30612579999999,5,4.6,86,1,630,4.465908
Colonel's Homestay,tourist attraction,4.3,0.9394130219984336,kochi,9.9061967,76.3198875,5,5.0,82,1,248,4.418841
Tirunettoor Mahadeva Temple,hindu temple,4.8,0.9084832343050709,kochi,9.9282436,76.31071759999999,5,4.8,543,1,230,6.298949
Vacation Designers,tourist attraction,4.9,0.8063865974301915,kochi,9.9272829,76.31155509999999,5,5.0,25,1,288,3.258097
JT taxi service,tourist attraction,4.9,0.912636707017696,kochi,9.9282678,76.31451880000002,5,5.0,9,1,384,2.302585
Lake View Point,tourist attraction,4.0,0.5158767732321066,kochi,9.920178000000002,76.3204038,1,4.0,1,1,13,0.693147
Nettoor Konthuruthy Kadavu,tourist attraction,0.0,0.5,kochi,9.9418829,76.3053288,0,0.0,0,0,0,0.0
Ferry View Point,tourist attraction,4.6,0.8474587112891383,kochi,9.9350072,76.3145418,5,4.4,32,1,59,3.496508
View point udayathumvathil,tourist attraction,4.7,0.9441543908936317,kochi,9.9148079,76.3236617,5,4.8,63,1,152,4.158883
Selam,tourist attraction,4.0,0.5,kochi,9.878512699999998,76.3036376,0,4.0,2,0,0,1.098612
View Point,tourist attraction,4.3,0.8212175399648893,kochi,9.9236375,76.32323889999999,5,4.8,43,1,86,3.78419
