name,category,types,rating,review,city,lat,lng,review_count,review_avg_rating,user_ratings_total,interest_scores_json,interest_tags,interest_tag_count,interest_tags_json,intent_scores_json,intent_tags,intent_tag_count,intent_tags_json,clean_interest_tags,clean_interest_tag_count,clean_interest_tags_json,clean_intent_tags,clean_intent_tag_count,clean_intent_tags_json
Jawaharlal Nehru Planetarium,tourist attraction,tourist_attraction | point_of_interest | establishment,4.4,,bengaluru,12.9848665,77.5896341,0,4.4,5142,{},,0,[],{},,0,[],,0,[],,0,[]
Jayamahal Park (Bengaluru),park,park | tourist_attraction | point_of_interest | establishment,4.3,,bengaluru,13.001197,77.5977297,0,4.3,4575,"{""nature"": 0.96}",nature,1,"[""nature""]",{},,0,[],nature,1,"[""nature""]",,0,[]
Om Shri Gangamma Devi Temple,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.8,,bengaluru,13.0044463,77.5720161,0,4.8,4298,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
St Francis Xavier's Cathedral,tourist attraction,tourist_attraction | church | place_of_worship | point_of_interest | establishment,4.6,,bengaluru,12.9925965,77.6112263,0,4.6,4128,"{""culture"": 0.78}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Yediyuru Lake Park,park,park | tourist_attraction | point_of_interest | establishment,4.4,,bengaluru,12.9327248,77.57759600000001,0,4.4,3996,"{""nature"": 1.0}",nature,1,"[""nature""]",{},,0,[],nature,1,"[""nature""]",,0,[]
Shri Ranadheera Kanteerava Park (Jayanagara),park,park | tourist_attraction | point_of_interest | establishment,4.5,,bengaluru,12.9344251,77.57982350000002,0,4.5,3932,"{""nature"": 1.0}",nature,1,"[""nature""]",{},,0,[],nature,1,"[""nature""]",,0,[]
Shri Dattatreya Swamy Temple,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.6,,bengaluru,12.934323,77.5658077,0,4.6,3131,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Glass House (Lalbagh),tourist attraction,tourist_attraction | point_of_interest | establishment,4.5,,bengaluru,12.9497909,77.5866423,0,4.5,3082,{},,0,[],{},,0,[],,0,[],,0,[]
CSI St. Mark's Cathedral,tourist attraction,tourist_attraction | church | place_of_worship | point_of_interest | establishment,4.6,,bengaluru,12.9759108,77.6004585,0,4.6,3030,"{""culture"": 0.78}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Sri Lakshmi Narasimha Swami Temple,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.8,,bengaluru,13.0046692,77.5718648,0,4.8,2983,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
