name,category,rating,sentiment,city,lat,lng,review_count,review_avg_rating,user_ratings_total,has_review,review_length,popularity_signal
Shri Manjunatha Swamy Temple,hindu temple,4.7,0.5,bengaluru,12.9969667,77.5546875,0,4.7,520,0,0,6.25575
Shri Subramanya Swamy Temple,hindu temple,4.6,0.5,bengaluru,12.9968801,77.55893689999999,0,4.6,518,0,0,6.251904
Shri Maramma Tayi Temple,hindu temple,4.6,0.5,bengaluru,12.9988972,77.5717777,0,4.6,480,0,0,6.175867
"Kempegowda Tower, Bengaluru",tourist attraction,4.3,0.5,bengaluru,12.9677725,77.588976,0,4.3,420,0,0,6.042633
Kota Shri Venkataramana Swamy Temple Trust (R),hindu temple,4.7,0.5,bengaluru,12.9519928,77.5774023,0,4.7,413,0,0,6.025866
Minsk Square,landmark,4.4,0.5,bengaluru,12.9815135,77.59677479999999,0,4.4,414,0,0,6.028279
"Kempegowda Tower, Bengaluru",tourist attraction,4.4,0.5,bengaluru,12.9486198,77.5894246,0,4.4,390,0,0,5.968708
Sri Kodandarama Devasthana {R.},hindu temple,4.5,0.5,bengaluru,12.9656973,77.5920325,0,4.5,372,0,0,5.921578
Shri Nimishamba Devi Temple,hindu temple,4.7,0.5,bengaluru,12.97233,77.5726428,0,4.7,357,0,0,5.880533
Park - J.P Nagar,park,4.1,0.5,bengaluru,12.9128992,77.59391769999999,0,4.1,359,0,0,5.886104
Indian Military Memorial,museum,4.5,0.5,bengaluru,12.985431,77.59017159999999,0,4.5,347,0,0,5.852202
KALPAKA TRAVELS,tourist attraction,3.9,0.5,bengaluru,12.9608805,77.5778287,0,3.9,342,0,0,5.83773
Mahatma Gandhi Park,park,4.2,0.5,bengaluru,12.9771523,77.5997292,0,4.2,312,0,0,5.746203
"Sri Prasanna Krishnaswamy Swamy temple, Tulasithota",hindu temple,4.6,0.5,bengaluru,12.9731905,77.5734846,0,4.6,288,0,0,5.666427
Sri Venkateshwara Travel Agency,travel agency,4.8,0.5,bengaluru,12.9998845,77.524961,0,4.8,279,0,0,5.63479
Shri Rama Devara Devasthana,hindu temple,4.6,0.5,bengaluru,12.9485991,77.5970732,0,4.6,273,0,0,5.613128
City Civil Courts Mayo Hall Unit,tourist attraction,4.1,0.5,bengaluru,12.9741112,77.6106502,0,4.1,268,0,0,5.594711
Shri Kalabhairaveshwara Swamy Temple,hindu temple,4.7,0.5,bengaluru,12.9535301,77.5594191,0,4.7,242,0,0,5.493061
BAPS Shri Swaminarayana Temple,hindu temple,4.8,0.5,bengaluru,12.9784742,77.54854639999999,0,4.8,236,0,0,5.46806
Hanumagiri hills,tourist attraction,4.6,0.5,bengaluru,12.9187258,77.5363998,0,4.6,224,0,0,5.4161
Lotus Pond - Lalbagh,park,4.3,0.5,bengaluru,12.9478225,77.5855733,0,4.3,222,0,0,5.407172
HAL Tejas Model Display,tourist attraction,4.6,0.5,bengaluru,12.9808402,77.59716039999999,0,4.6,217,0,0,5.384495
Turnkey Holidays - International Tours and Travels Agency Bengaluru,tourist attraction,4.7,0.5,bengaluru,13.0093173,77.5487012,0,4.7,208,0,0,5.342334
RC HOLIDAYS TOURS AND TRAVELS -BEST TRAVEL AGENCY IN BANGALORE,tourist attraction,4.8,0.5,bengaluru,12.9432924,77.56457710000001,0,4.8,206,0,0,5.332719
Halasuru Lake,tourist attraction,4.2,0.5,bengaluru,12.981375,77.6193141,0,4.2,211,0,0,5.356586
Shri Venugopala Swami Devasthana,hindu temple,4.4,0.5,bengaluru,12.9326768,77.5379445,0,4.4,201,0,0,5.308268
White Silk Cotton Tree,tourist attraction,4.6,0.5,bengaluru,12.9499104,77.5826604,0,4.6,189,0,0,5.247024
Band Stand,tourist attraction,4.5,0.5,bengaluru,12.9767034,77.59394139999999,0,4.5,186,0,0,5.231109
Queen Victoria Statue,tourist attraction,4.4,0.5,bengaluru,12.9767965,77.5990644,0,4.4,177,0,0,5.181784
Topiary Garden (Lalbagh),tourist attraction,4.5,0.5,bengaluru,12.950709,77.5831087,0,4.5,173,0,0,5.159055
Madiwala Lake View,tourist attraction,4.2,0.5,bengaluru,12.9104073,77.6157401,0,4.2,176,0,0,5.17615
Japanese Garden (Lalbagh),tourist attraction,4.1,0.5,bengaluru,12.9513341,77.5867169,0,4.1,174,0,0,5.164786
ISKCON Temple View Point,tourist attraction,4.7,0.5,bengaluru,13.0109351,77.5512182,0,4.7,163,0,0,5.099866
Nigesh the cat,tourist attraction,4.8,0.5,bengaluru,12.9948322,77.58698489999999,0,4.8,162,0,0,5.09375
Janatha Bazaar Park,park,4.5,0.5,bengaluru,13.0067661,77.5820851,0,4.5,164,0,0,5.105945
Asian Travel Agency: Premier Tour Operator and Travel Agency,tourist attraction,4.3,0.5,bengaluru,12.953733,77.5802526,0,4.3,155,0,0,5.049856
Clock Tower,tourist attraction,4.3,0.5,bengaluru,12.9886242,77.60269579999999,0,4.3,139,0,0,4.941642
BTM lake front,tourist attraction,4.4,0.5,bengaluru,12.9086844,77.61528009999999,0,4.4,130,0,0,4.875197
Tree Fossil,tourist attraction,4.2,0.5,bengaluru,12.9505293,77.5838278,0,4.2,124,0,0,4.828314
Shri Annapoorneshwari Devi Gudi,hindu temple,4.7,0.5,bengaluru,12.9885435,77.5630281,0,4.7,119,0,0,4.787492
ROYAL DREAM TO FLY PRIVATE LIMITED,tourist attraction,4.3,0.5,bengaluru,12.940773,77.5426985,0,4.3,122,0,0,4.812184
SME Tours and Travels,travel agency,4.8,0.5,bengaluru,12.9180139,77.5571105,0,4.8,115,0,0,4.75359
K1BOND HILLS,tourist attraction,4.3,0.5,bengaluru,12.9173021,77.5299081,0,4.3,114,0,0,4.744932
Shri Kashi Vishveshwara Swamy Temple,hindu temple,4.6,0.5,bengaluru,12.9586051,77.5644367,0,4.6,108,0,0,4.691348
Shri Arunachaleshwara Temple,hindu temple,4.7,0.5,bengaluru,12.9134129,77.5290813,0,4.7,102,0,0,4.634729
Swami Vivekananda Statue,tourist attraction,4.7,0.5,bengaluru,12.9478686,77.56792329999999,0,4.7,100,0,0,4.615121
Thathwamasi Tours Bengaluru,tourist attraction,4.9,0.5,bengaluru,12.9433,77.5586703,0,4.9,93,0,0,4.543295
SNS Travels Holiday Package Trips,travel agency,4.7,0.5,bengaluru,12.9968546,77.5704966,0,4.7,94,0,0,4.553877
Brigade Gateway Lake,tourist attraction,4.5,0.5,bengaluru,13.0114688,77.5560344,0,4.5,95,0,0,4.564348
Aralikatte,tourist attraction,4.2,0.5,bengaluru,12.9224695,77.5743267,0,4.2,88,0,0,4.488636
Mahua- The Art Gallery,art gallery,4.1,0.5,bengaluru,13.005591,77.5816385,0,4.1,85,0,0,4.454347
Sri Shreyas Tour and Travels,tourist attraction,4.8,0.5,bengaluru,12.953209,77.577773,0,4.8,67,0,0,4.219508
Peepletree Art Gallery,art gallery,4.3,0.5,bengaluru,13.0068362,77.58261720000002,0,4.3,67,0,0,4.219508
Coorg Travel Bag Center,tourist attraction,4.9,0.5,bengaluru,12.9863765,77.5372912,0,4.9,56,0,0,4.043051
Tallest flag pole,tourist attraction,4.6,0.5,bengaluru,12.960455,77.5297099,0,4.6,53,0,0,3.988984
215 feet India flag,tourist attraction,4.7,0.5,bengaluru,12.9603253,77.5296992,0,4.7,51,0,0,3.951244
Shri Krishna Swamy Temple,hindu temple,4.5,0.5,bengaluru,12.9752534,77.6221841,0,4.5,50,0,0,3.931826
Sri Adishakthi Chikkannamma Devasthana,hindu temple,4.7,0.5,bengaluru,12.9607108,77.570168,0,4.7,44,0,0,3.806662
Shri Venkataramana Swami Devasthana,hindu temple,4.8,0.5,bengaluru,12.9234469,77.6206783,0,4.8,42,0,0,3.7612
DR APJ ABDUL KALAM STATUE,tourist attraction,4.4,0.5,bengaluru,12.9649773,77.570112,0,4.4,44,0,0,3.806662
Falcon Tours & Travels,tourist attraction,4.9,0.5,bengaluru,12.9731093,77.5464951,0,4.9,34,0,0,3.555348
BTM Lake Northern Most Point,tourist attraction,3.8,0.5,bengaluru,12.9151641,77.6164774,0,3.8,44,0,0,3.806662
Statue Of Basavanna,tourist attraction,4.8,0.5,bengaluru,12.9843536,77.58854079999999,0,4.8,34,0,0,3.555348
REBOUND ARCADE,tourist attraction,4.6,0.5,bengaluru,12.9402545,77.5251347,0,4.6,33,0,0,3.526361
ಕ್ರಾಂತಿ ವೀರ ಸಂಗೊಳ್ಳಿ ರಾಯಣ್ಣ ವೃತ್ತ,tourist attraction,4.8,0.5,bengaluru,12.9799943,77.5711537,0,4.8,31,0,0,3.465736
Veerabhumi,tourist attraction,4.5,0.5,bengaluru,12.9854373,77.5904747,0,4.5,33,0,0,3.526361
Kempegowda Tower,tourist attraction,4.0,0.5,bengaluru,12.949338,77.5580263,0,4.0,36,0,0,3.610918
Chilli the Billi,tourist attraction,5.0,0.5,bengaluru,12.974729,77.605948,0,5.0,26,0,0,3.295837
Eyelusion Bangalore,museum,4.8,0.5,bengaluru,13.0062264,77.5919552,0,4.8,9015,0,0,9.106756
Museum of Art & Photography (MAP),museum,4.5,0.5,bengaluru,12.9746026,77.5967537,0,4.5,2394,0,0,7.781139
Cauvery Karnataka State Arts & Craft Emporium,store,4.2,0.5,bengaluru,12.9295553,77.5823999,0,4.2,1374,0,0,7.226209
Param Science Experience Centre (ParSEC Jayanagar),museum,4.3,0.5,bengaluru,12.9274379,77.57924729999999,0,4.3,1197,0,0,7.088409
Vidhan sabha,museum,4.5,0.5,bengaluru,12.9796309,77.59068649999999,0,4.5,906,0,0,6.810142
Bangalore Creative Circus,museum,4.4,0.5,bengaluru,13.0138897,77.5481114,0,4.4,554,0,0,6.318968
Bimba The Art Hut,museum,4.4,0.5,bengaluru,12.9381822,77.5717596,0,4.4,335,0,0,5.817111
Shades Creative Gallery,art gallery,4.9,0.5,bengaluru,12.9367782,77.61517359999999,0,4.9,326,0,0,5.78996
Rezwan Razack’s Museum of Indian Paper Money,museum,4.6,0.5,bengaluru,12.9711162,77.6142498,0,4.6,217,0,0,5.384495
MAP Conservation Centre,museum,4.5,0.5,bengaluru,12.9744087,77.5964503,0,4.5,196,0,0,5.283204
War Memorial Garden,museum,4.2,0.5,bengaluru,12.9856986,77.5913313,0,4.2,189,0,0,5.247024
NIMHANS Heritage Museum,museum,4.4,0.5,bengaluru,12.9398127,77.5950616,0,4.4,146,0,0,4.990433
DAN MURAL DESIGN| Murals | Wall Murals,art gallery,4.9,0.5,bengaluru,12.9402338,77.5340932,0,4.9,129,0,0,4.867534
Kaveri Auto Gas (Bangalore Cng Fitment Centre),museum,4.9,0.5,bengaluru,12.9593386,77.58793469999999,0,4.9,111,0,0,4.718499
Bosch India Experience Centre,museum,4.6,0.5,bengaluru,12.9460956,77.604113,0,4.6,109,0,0,4.70048
Head Office - Param Innovation,amusement park,4.7,0.5,bengaluru,12.9272011,77.5872366,0,4.7,97,0,0,4.584967
DeKulture Sadashiv store,jewelry store,5.0,0.5,bengaluru,13.0044888,77.5816771,0,5.0,89,0,0,4.49981
Vimor Museum of Living textiles,museum,4.6,0.5,bengaluru,12.9640776,77.61353679999999,0,4.6,80,0,0,4.394449
SANDESH - Museum of Communication,museum,4.7,0.5,bengaluru,12.9727432,77.6036058,0,4.7,76,0,0,4.343805
MKF Museum of Art,art gallery,4.3,0.5,bengaluru,12.9707254,77.5978267,0,4.3,69,0,0,4.248495
